Ngay,ETF_VN30,SP500,VANG,BITCOIN
2016-08-31,,,,
2016-09-30,0.02452830188679256,-0.0012344511393173052,0.00489710329367532,0.05953895478755822
2016-10-31,-0.03130755064456725,-0.01942567890903446,-0.03182825498668318,0.14963386012549873
2016-11-30,-0.03707224334600756,0.034174521829295035,-0.079197759474538,0.06379569384552086
2016-12-31,0.003948667324777944,0.01820076244186586,-0.017765671302238273,0.2924160384029304
2017-01-31,0.027531956735496577,0.01788435819838252,0.05095650050951095,0.0069105916320904015
2017-02-28,0.03540669856459333,0.03719816006681631,0.03640575946451463,0.21595868139061847
2017-03-31,0.0443622920517559,-0.0003891971352694146,-0.004231140716199788,-0.09168024129983776
2017-04-30,-0.01415929203539823,0.009091208748854607,0.015072497411890318,0.2576064019287243
2017-05-31,0.04219030520646316,0.011576251246328662,0.0046599988372419965,0.6962881891411046
2017-06-30,0.0818260120585701,0.004813775207812565,-0.024606956625884413,0.08503732193929925
2017-07-31,-0.01671974522292996,0.019348826001101882,0.020875332822895,0.15901871383230914
2017-08-31,0.02267206477732797,0.000546433019853243,0.03915993726669087,0.6357682892979797
2017-09-30,0.029295328582739533,0.019302978562167672,-0.02636373838259154,-0.07753559989298775
2017-10-31,0.06000000000000005,0.02218813506615125,-0.011314865392118567,0.49085787263504255
2017-11-30,0.13497822931785186,0.028082627806563343,0.004893410553965971,0.5820913616777115
2017-12-31,0.03452685421994883,0.009831630594270502,0.025997564346263102,0.3833256069209823
2018-01-31,0.11248454882571068,0.05617870412552817,0.025032496325182008,-0.2779873889308847
2018-02-28,0.0,-0.0389473718793677,-0.0175504107542942,0.01729762824029568
2018-03-31,0.04888888888888898,-0.02688449860055664,0.005549257946123154,-0.3293328919130871
2018-04-30,-0.12076271186440679,0.0027187749953683227,-0.004989490030709476,0.3250893147910252
2018-05-31,-0.048192771084337394,0.0216083418545836,-0.01223216546361583,-0.18899090635565918
2018-06-30,0.0056962025316456,0.00484243626760783,-0.037535518555654956,-0.14546906905498158
2018-07-31,-0.021397105097545666,0.03602155617289915,-0.022057137840039376,0.2149344068404513
2018-08-31,0.025723472668810254,0.030263211276748248,-0.019122254864308075,-0.09547787385747553
2018-09-30,0.02633228840125401,0.0042942874264617625,-0.007331540839906392,-0.058545695389234265
2018-10-31,-0.0824679291386683,-0.0694033560936963,0.01745702797156956,-0.046479119136965674
2018-11-30,-0.01997336884154466,0.01785935665477978,0.006516457993535951,-0.3641157587086258
